stockid,stockname,date,BV
600016.SH,民生银行,20131231,20428700
600016.SH,民生银行,20130930,19622600
600016.SH,民生银行,20130630,19120700
600016.SH,民生银行,20130331,18366800
600016.SH,民生银行,20121231,16854400
600016.SH,民生银行,20120930,15960000
600016.SH,民生银行,20120630,15471200
600016.SH,民生银行,20120331,14354300
600016.SH,民生银行,20111231,13411000
600016.SH,民生银行,20110930,12428400
600016.SH,民生银行,20110630,11680900
600016.SH,民生银行,20110331,11160800
600016.SH,民生银行,20101231,10525700
600016.SH,民生银行,20100930,10122400
600016.SH,民生银行,20100630,9689400
600016.SH,民生银行,20100331,9355500
600016.SH,民生银行,20091231,8889400
600016.SH,民生银行,20090930,6041100
600016.SH,民生银行,20090630,5805200
600016.SH,民生银行,20090331,5757300
600016.SH,民生银行,20081231,5467200
600016.SH,民生银行,20080930,5766682.7
600016.SH,民生银行,20080630,5522289.1
600016.SH,民生银行,20080331,4931393.6
600016.SH,民生银行,20071231,5018617.5
600016.SH,民生银行,20070930,4522508.7
600016.SH,民生银行,20070630,4291531.5
600016.SH,民生银行,20070331,2039525.2
600016.SH,民生银行,20061231,1930506
600016.SH,民生银行,20060930,1740309.5
600016.SH,民生银行,20060630,1660577.6
600016.SH,民生银行,20060331,1591406.1
600016.SH,民生银行,20051231,1538579.3
600016.SH,民生银行,20050930,1483176.6
600016.SH,民生银行,20050630,1381551.9
600016.SH,民生银行,20050331,1351460.8
600016.SH,民生银行,20041231,1290715.8
600016.SH,民生银行,20040930,1243941.2
600016.SH,民生银行,20040630,1194560.7
600016.SH,民生银行,20040331,1167648.8
600016.SH,民生银行,20031231,965020.4
600016.SH,民生银行,20030930,727502.6
600016.SH,民生银行,20030630,664186
600016.SH,民生银行,20030331,629123.6
600016.SH,民生银行,20021231,600381
600016.SH,民生银行,20020930,592777.3
600016.SH,民生银行,20020630,569814.6
600016.SH,民生银行,20020331,562698.7
600016.SH,民生银行,20011231,542490.3
600016.SH,民生银行,20010930,609861.41
600016.SH,民生银行,20010630,585445.04
600016.SH,民生银行,20010331,616115
600016.SH,民生银行,20001231,599573.77
600016.SH,民生银行,20000630,173856.35
600016.SH,民生银行,19991231,153273.56
600016.SH,民生银行,19981231,161990.88
600016.SH,民生银行,19971231,155801.24
600036.SH,招商银行,20140930,30239800
600036.SH,招商银行,20140630,28636400
600036.SH,招商银行,20140331,28384200
600036.SH,招商银行,20131231,26595600
600036.SH,招商银行,20130930,25727400
600036.SH,招商银行,20130630,21249800
600036.SH,招商银行,20130331,21455700
600036.SH,招商银行,20121231,20040100
600036.SH,招商银行,20120930,19095400
600036.SH,招商银行,20120630,18136200
600036.SH,招商银行,20120331,17727300
600036.SH,招商银行,20111231,16501000
600036.SH,招商银行,20110930,15384800
600036.SH,招商银行,20110630,14543200
600036.SH,招商银行,20110331,14277700
600036.SH,招商银行,20101231,13400600
600036.SH,招商银行,20100930,13310800
600036.SH,招商银行,20100630,12484100
600036.SH,招商银行,20100331,11821400
600036.SH,招商银行,20091231,9278300
600036.SH,招商银行,20090930,8750500
600036.SH,招商银行,20090630,8418500
600036.SH,招商银行,20090331,8217100
600036.SH,招商银行,20081231,7978100
600036.SH,招商银行,20080930,9001200
600036.SH,招商银行,20080630,7749600
600036.SH,招商银行,20080331,7476200
