stockid,date,asset,equity,loan,deposit
600015,20131231,167244704,8601900,82316896,117759200
600015,20140331,173419296,9030000,86970182.57,125956957.3
600015,20140630,177856000,9207800,89195200,129179400
600015,20140930,178409200,9690200,91039400,126792200
600016,19971231,1852425.625,155801.2344,814090.4461,1355278.389
600016,19981231,2535214.5,161990.875,1114157.5,1854822.875
600016,19991231,3659625.25,153273.5625,1678544.875,2906203
600016,20000630,4861044.5,173856.3438,2493381.254,3765144.843
600016,20001231,6805821.5,599573.75,3490918,5271481
600016,20010331,8069076,616115,3799109.597,6019009.237
600016,20010630,10030324,585445.0625,4722511,7481973.5
600016,20010930,11822844,609861.4375,6261690.718,8850802.564
600016,20011231,13889842,542490.3125,7356427.5,10398196
600016,20020331,14162887,562698.6875,8122963.948,9883718.252
600016,20020630,19597760,569814.625,11240074,13676501
600016,20020930,21595732,592777.3125,11254353.53,16196282.96
600016,20021231,24628086,600381,12834628,18470476
600016,20030331,25447850,629123.625,13145081.64,18328397.33
600016,20030630,32978238,664186,17034902,23752036
600016,20030930,35901928,727502.625,20063002.97,27308849.67
600016,20031231,36106440,965020.375,20177290,27464412
600016,20040331,37917648,1167648.75,23314406.56,31496070.7
600016,20040630,40588064,1194560.75,24956364,33714236
600016,20040930,42179552,1243941.25,27308086.95,35990450.53
600016,20041231,44539868,1290715.75,28836214,38004432
600016,20050331,46775104,1351460.75,29010200.06,40180642.86
600016,20050630,51233500,1381551.875,31775324,44010484
600016,20050930,51877212,1483176.625,35180497.29,45487068.25
600016,20051231,55750528,1538579.25,37807184,48883276
600016,20060331,56762804,1591406.125,38699525.88,48550949.46
600016,20060630,62543156,1660577.625,42640432,53495060
600016,20060930,65020232,1740309.5,41534941.73,54147086.71
600016,20061231,70044936,1930506,44744724,58331524
600016,20070331,69250960,2039525.25,44039515.67,52162194.66
600016,20070630,85209960,4291531.5,54188496,64183060
600016,20070930,94460112,4522508.5,56992443.06,68932063.09
600016,20071231,91979640,5018617.5,55495852,67121944
600016,20080331,100354120,4931393.5,57824482.77,71840428.31
600016,20080630,106221096,5522289,61205060,76040416
600016,20080930,106405512,5766682.5,66442009.66,79301903.21
600016,20081231,105435000,5467200,65836000,78578600
600016,20090331,116155104,5757300,74464893.13,88582536.77
600016,20090630,141001408,5805200,90393400,107530896
600016,20090930,140293600,6041100,86845907.89,110938986.3
600016,20091231,142639200,8889400,88297904,112793800
600016,20100331,148491696,9355500,86944314.83,120153658.4
600016,20100630,163077600,9689400,95484600,131956000
600016,20100930,176439504,10122400,102315911.7,137083377.1
600016,20101231,182373696,10525700,105757104,141693904
600016,20110331,204270000,11160800,107973981.7,145246499.5
600016,20110630,216100496,11680900,114227400,153658592
600016,20110930,212180608,12428400,114722823.6,156559655.5
600016,20111231,222906400,13411000,120522096,164473792
600016,20120331,241723008,14354300,121441475.4,168751083
600016,20120630,259406592,15471200,130325696,181096304
600016,20120930,280956992,15960000,121113238.5,168486142
600016,20121231,321200096,16854400,138460992,192619392
600016,20130331,329988096,18366800,143697658.5,210468115.4
600016,20130630,341009312,19120700,148496992,217497504
600016,20130930,331321888,19622600,161671997.7,220458388.3
600016,20131231,322620992,20428700,157426304,214668896
600016,20140331,328211904,21788100,155886306.4,222448018.9
600016,20140630,357145088,22929900,169628304,242057696
