stockid,stockname,date,asset,equity
601818.SH,光大银行,20121231,227929500,11432200
601818.SH,光大银行,20120930,221735987.3,11000604
601818.SH,光大银行,20120630,209379424.2,10469847.9
601818.SH,光大银行,20120331,201670762.4,10326119.2
601818.SH,光大银行,20111231,173334560.7,9614963.3
601818.SH,光大银行,20110930,166999459,9093732.4
601818.SH,光大银行,20110630,166212723.6,8674308.5
601818.SH,光大银行,20110331,168515353,8636347.7
601818.SH,光大银行,20101231,148395034.2,8146270.2
601818.SH,光大银行,20100930,149104053.9,7995353.6
601818.SH,光大银行,20100630,142623563,5536658.6
601818.SH,光大银行,20091231,119769610.7,4812146
601818.SH,光大银行,20081231,85183814,3323208.4
601818.SH,光大银行,20071231,73918645.6,2468909.3
601818.SH,光大银行,20061231,59611661.7,-18241.8
601818.SH,光大银行,20051231,51555669.6,-278262.6
601939.SH,建设银行,20140930,1673586300,120817900
601939.SH,建设银行,20140630,1639979000,114701200
601939.SH,建设银行,20140331,1614144800,114771900
601939.SH,建设银行,20131231,1536321000,107432900
601939.SH,建设银行,20130930,1499576900,104961200
601939.SH,建设银行,20130630,1485921400,100051100
601939.SH,建设银行,20130331,1467663400,101082500
601939.SH,建设银行,20121231,1397282800,94960900
601939.SH,建设银行,20120930,1329648200,91768400
601939.SH,建设银行,20120630,1350574500,86940500
601939.SH,建设银行,20120331,1327738200,86916100
601939.SH,建设银行,20111231,1228183400,81666100
601939.SH,建设银行,20110930,1177233000,77902400
601939.SH,建设银行,20110630,1175476600,73867600
601939.SH,建设银行,20110331,1131251600,74907700
601939.SH,建设银行,20101231,1081031700,70090500
601939.SH,建设银行,20100930,1057905000,62449400
601939.SH,建设银行,20100630,1023598100,58019800
601939.SH,建设银行,20100331,1012438200,59569900
601939.SH,建设银行,20091231,962335500,55902000
601939.SH,建设银行,20090930,935397200,53702500
601939.SH,建设银行,20090630,911017100,50653400
601939.SH,建设银行,20090331,867463300,49418500
601939.SH,建设银行,20081231,755545200,46756200
601939.SH,建设银行,20080930,732363100,47953400
601939.SH,建设银行,20080630,705770600,45539800
601939.SH,建设银行,20080331,687503000,44836900
601939.SH,建设银行,20071231,659817700,42228100
601939.SH,建设银行,20070930,640604100,38992200
601939.SH,建设银行,20070630,611779100,32573800
601939.SH,建设银行,20061231,544851100,33020400
601939.SH,建设银行,20051231,458574200,28767700
601939.SH,建设银行,20041231,390992000,19555100
601939.SH,建设银行,20031231,355427900,18628000
601939.SH,建设银行,20021231,308319500,10723600
601939.SH,建设银行,20011231,275237200,10756700
601939.SH,建设银行,20001231,253169500,11485000
601988.SH,中国银行,20140930,1542795700,104625700
601988.SH,中国银行,20140630,1546909600,100645600
601988.SH,中国银行,20140331,1510536700,101236900
601988.SH,中国银行,20131231,1387429900,96147700
601988.SH,中国银行,20130930,1362479300,92566100
601988.SH,中国银行,20130630,1325620600,88633300
601988.SH,中国银行,20130331,1324237800,90247000
601988.SH,中国银行,20121231,1268061500,86154200
601988.SH,中国银行,20120930,1274368500,82772900
601988.SH,中国银行,20120630,1282559000,79161700
601988.SH,中国银行,20120331,1289401500,79610200
601988.SH,中国银行,20111231,1183006600,75589400
601988.SH,中国银行,20110930,1152991200,72578700
601988.SH,中国银行,20110630,1148349800,70312500
601988.SH,中国银行,20110331,1124624300,71153900
601988.SH,中国银行,20101231,1045986500,67615000
601988.SH,中国银行,20100930,1010243500,59794500
601988.SH,中国银行,20100630,968581200,56731600
601988.SH,中国银行,20100331,972167300,57349000
601988.SH,中国银行,20091231,875194300,54539400
601988.SH,中国银行,20090930,834233600,52433400
601988.SH,中国银行,20090630,821125900,50298100
601988.SH,中国银行,20090331,792760900,51153100
601988.SH,中国银行,20081231,695569400,49390100
601988.SH,中国银行,20080930,659661500,48009500
601988.SH,中国银行,20080630,648731300,46386200
601988.SH,中国银行,20080331,634461200,47373800
601988.SH,中国银行,20071231,599555300,45499300
601988.SH,中国银行,20070930,602020900,45039300
601988.SH,中国银行,20070630,583859100,43016200
601988.SH,中国银行,20070331,560363700,42934400
601988.SH,中国银行,20061231,532527300,41781400
601988.SH,中国银行,20060930,526884600,40677300
601988.SH,中国银行,20060630,522693300,38645300
601988.SH,中国银行,20051231,474280600,26262000
601988.SH,中国银行,20041231,427044300,23273800
601988.SH,中国银行,20031231,397996500,22947600
601998.SH,中信银行,20140930,404588700,25768500
601998.SH,中信银行,20140630,431118700,24669800
601998.SH,中信银行,20140331,398151400,24335400
601998.SH,中信银行,20131231,364119300,23072500
601998.SH,中信银行,20130930,340140800,22481000
601998.SH,中信银行,20130630,343694500,21597700
601998.SH,中信银行,20130331,311908400,21279600
601998.SH,中信银行,20121231,295993900,20308600
601998.SH,中信银行,20120930,291194500,19966900
601998.SH,中信银行,20120630,291636500,19248000
601998.SH,中信银行,20120331,265737600,18779600
601998.SH,中信银行,20111231,276588100,17878100
601998.SH,中信银行,20110930,227084300,17336200
601998.SH,中信银行,20110630,224521800,13965700
601998.SH,中信银行,20110331,214439800,13132600
601998.SH,中信银行,20101231,208131400,12453800
601998.SH,中信银行,20100930,194761500,12104000
601998.SH,中信银行,20100630,194016800,11422200
601998.SH,中信银行,20100331,175280200,11186900
601998.SH,中信银行,20091231,177503100,10700800
601998.SH,中信银行,20090930,142886100,10342800
601998.SH,中信银行,20090630,140147700,9906300
601998.SH,中信银行,20090331,125556900,9828000
601998.SH,中信银行,20081231,118783700,9534600
601998.SH,中信银行,20080930,108867500,9437700
601998.SH,中信银行,20080630,111720800,9019600
601998.SH,中信银行,20080331,107605800,8605900
601998.SH,中信银行,20071231,101123600,8414100
601998.SH,中信银行,20070930,92891800,8104100
601998.SH,中信银行,20070630,86854900,7897600
601998.SH,中信银行,20061231,70685900,3183000
601998.SH,中信银行,20051231,59499300,2371800
601998.SH,中信银行,20041231,49340200,872000
601998.SH,中信银行,20031231,41980297,1684492.8
601998.SH,中信银行,20021231,33516259.2,933688.2
