stockid,stockname,date,asset,equity
600000.SH,浦发银行,20080331,95003205.8,3141903.67
600000.SH,浦发银行,20071231,91498034.6,2829786.8
600000.SH,浦发银行,20070930,84441547.23,2740815.14
600000.SH,浦发银行,20070630,76985389.79,2611129.79
600000.SH,浦发银行,20070331,70412690.92,2568705.45
600000.SH,浦发银行,20061231,68934415.47,2470612.8
600000.SH,浦发银行,20060930,63793483.52,1789122.73
600000.SH,浦发银行,20060630,63023226.7,1706633.08
600000.SH,浦发银行,20060331,59944335.56,1567963.96
600000.SH,浦发银行,20051231,57352267.14,1596946.29
600000.SH,浦发银行,20050930,51945550.25,1481218.59
600000.SH,浦发银行,20050630,49245153.08,1414336.72
600000.SH,浦发银行,20050331,45726453.53,1402406.28
600000.SH,浦发银行,20041231,45553228.64,1351030.37
600000.SH,浦发银行,20040930,42370892.87,1296390.72
600000.SH,浦发银行,20040630,41388950.22,1245371.86
600000.SH,浦发银行,20040331,39190124.54,1199589.07
600000.SH,浦发银行,20031231,37105669.81,1201092.29
600000.SH,浦发银行,20030930,36130038.77,1152689.6
600000.SH,浦发银行,20030630,34266540,1110166.93
600000.SH,浦发银行,20030331,27961613.86,1076046.01
600000.SH,浦发银行,20021231,27930071.93,796047.65
600000.SH,浦发银行,20020930,24324312.48,792135.92
600000.SH,浦发银行,20020630,20903674.91,760810.93
600000.SH,浦发银行,20020331,17716654.8,733241.4
600000.SH,浦发银行,20011231,17369068.3,706666.7
600000.SH,浦发银行,20010930,16273174.79,821857.85
600000.SH,浦发银行,20010630,15063869.17,793143.91
600000.SH,浦发银行,20001231,13072243.17,744476.95
600000.SH,浦发银行,20000630,11339809.78,830631.96
600000.SH,浦发银行,19991231,10320967.8,777605.31
600000.SH,浦发银行,19990630,8720319.9,383947.7
600000.SH,浦发银行,19981231,8733821.7,333350.6
600000.SH,浦发银行,19971231,8164033.2,317171.8
600000.SH,浦发银行,19961231,6506717,157990.8
600015.SH,华夏银行,20140930,178409200,9690200
600015.SH,华夏银行,20140630,177856000,9207800
600015.SH,华夏银行,20140331,173419300,9030000
600015.SH,华夏银行,20131231,167244700,8601900
600015.SH,华夏银行,20130930,155180900,8253200
600015.SH,华夏银行,20130630,150715200,8266700
600015.SH,华夏银行,20130331,151906137.2,7790471.51
600015.SH,华夏银行,20121231,148886006.4,7472262.42
600015.SH,华夏银行,20120930,144644191.6,7118952.67
600015.SH,华夏银行,20120630,135451513.1,6861321.51
600015.SH,华夏银行,20120331,125006398.6,6631811.65
600015.SH,华夏银行,20111231,124414118.2,6393012.29
600015.SH,华夏银行,20110930,107977815.7,6094446.27
600015.SH,华夏银行,20110630,114076849.2,5880550.87
600015.SH,华夏银行,20110331,112244255.9,3720276.94
600015.SH,华夏银行,20101231,104023044.2,3549588.02
600015.SH,华夏银行,20100930,101079066.5,3417604.2
600015.SH,华夏银行,20100630,94169574.94,3266287.61
600015.SH,华夏银行,20100331,89150994.51,3158769.4
600015.SH,华夏银行,20091231,84545643.24,3023418.52
600015.SH,华夏银行,20090930,82363167.39,2911923.9
600015.SH,华夏银行,20090630,80053038.09,2815787.73
600015.SH,华夏银行,20090331,75772712.97,2797453.39
600015.SH,华夏银行,20081231,73163718.65,2742135.69
600015.SH,华夏银行,20080930,65262336.07,1575628.73
600015.SH,华夏银行,20080630,62814610.36,1448189.8
600015.SH,华夏银行,20080331,59796804,1385104.41
600015.SH,华夏银行,20071231,59233827.45,1305562.75
600015.SH,华夏银行,20070930,52961929.19,1262967.09
600015.SH,华夏银行,20070630,48102125.89,1201485.15
600015.SH,华夏银行,20070331,42411285.23,1196841.03
600015.SH,华夏银行,20061231,44505342.43,1164279.51
600015.SH,华夏银行,20060930,39719997.08,1124708.06
600015.SH,华夏银行,20060630,39168407.02,1074244.08
600015.SH,华夏银行,20060331,36237066.57,1084570.31
600015.SH,华夏银行,20051231,35592147.23,1053082.19
600015.SH,华夏银行,20050930,33349169.73,1027252.36
600015.SH,华夏银行,20050630,32393698.31,982883.91
600015.SH,华夏银行,20050331,29841978.88,992106.83
600015.SH,华夏银行,20041231,30432573.61,960899.5
600015.SH,华夏银行,20040930,27615341.49,938322.68
600015.SH,华夏银行,20040630,26564395.81,908742.71
600015.SH,华夏银行,20040331,24113859.53,889400.21
600015.SH,华夏银行,20031231,24682878.7,862707.74
600015.SH,华夏银行,20030930,21706667.75,972182.73
600015.SH,华夏银行,20030630,20365389.85,399655.92
600015.SH,华夏银行,20021231,17814649.49,360136.93
600015.SH,华夏银行,20011231,13504966.57,209583.56
600015.SH,华夏银行,20001231,9983323.69,145557.67
600016.SH,民生银行,20140930,376934100,24080300
600016.SH,民生银行,20140630,357145100,22929900
600016.SH,民生银行,20140331,328211900,21788100
600016.SH,民生银行,20131231,322621000,20428700
600016.SH,民生银行,20130930,331321900,19622600
600016.SH,民生银行,20130630,341009300,19120700
600016.SH,民生银行,20130331,329988100,18366800
600016.SH,民生银行,20121231,321200100,16854400
600016.SH,民生银行,20120930,280957000,15960000
600016.SH,民生银行,20120630,259406600,15471200
600016.SH,民生银行,20120331,241723000,14354300
600016.SH,民生银行,20111231,222906400,13411000
600016.SH,民生银行,20110930,212180600,12428400
600016.SH,民生银行,20110630,216100500,11680900
600016.SH,民生银行,20110331,204270000,11160800
600016.SH,民生银行,20101231,182373700,10525700
600016.SH,民生银行,20100930,176439500,10122400
600016.SH,民生银行,20100630,163077600,9689400
600016.SH,民生银行,20100331,148491700,9355500
600016.SH,民生银行,20091231,142639200,8889400
600016.SH,民生银行,20090930,140293600,6041100
600016.SH,民生银行,20090630,141001400,5805200
600016.SH,民生银行,20090331,116155100,5757300
600016.SH,民生银行,20081231,105435000,5467200
600016.SH,民生银行,20080930,106405508.6,5766682.7
600016.SH,民生银行,20080630,106221098.6,5522289.1
600016.SH,民生银行,20080331,100354122.8,4931393.6
600016.SH,民生银行,20071231,91979641,5018617.5
600016.SH,民生银行,20070930,94460110,4522508.7
600016.SH,民生银行,20070630,85209956.4,4291531.5
600016.SH,民生银行,20070331,69250962.7,2039525.2
600016.SH,民生银行,20061231,70044932.3,1930506
600016.SH,民生银行,20060930,65020231.8,1740309.5
600016.SH,民生银行,20060630,62543157.4,1660577.6
600016.SH,民生银行,20060331,56762804,1591406.1
600016.SH,民生银行,20051231,55750527.9,1538579.3
600016.SH,民生银行,20050930,51877212.8,1483176.6
600016.SH,民生银行,20050630,51233501.3,1381551.9
600016.SH,民生银行,20050331,46775102.7,1351460.8
600016.SH,民生银行,20041231,44539868.2,1290715.8
600016.SH,民生银行,20040930,42179550,1243941.2
600016.SH,民生银行,20040630,40588065.5,1194560.7
600016.SH,民生银行,20040331,37917647.1,1167648.8
600016.SH,民生银行,20031231,36106441,965020.4
600016.SH,民生银行,20030930,35901928.5,727502.6
600016.SH,民生银行,20030630,32978238.7,664186
600016.SH,民生银行,20030331,25447850.2,629123.6
600016.SH,民生银行,20021231,24628085.3,600381
600016.SH,民生银行,20020930,21595732.8,592777.3
600016.SH,民生银行,20020630,19597759,569814.6
600016.SH,民生银行,20020331,14162887.2,562698.7
600016.SH,民生银行,20011231,13889842,542490.3
600016.SH,民生银行,20010930,11822844.05,609861.41
600016.SH,民生银行,20010630,10030323.61,585445.04
600016.SH,民生银行,20010331,8069076,616115
600016.SH,民生银行,20001231,6805821.51,599573.77
600016.SH,民生银行,20000630,4861044.32,173856.35
600016.SH,民生银行,19991231,3659625.15,153273.56
600016.SH,民生银行,19981231,2535214.57,161990.88
600016.SH,民生银行,19971231,1852425.61,155801.24
600036.SH,招商银行,20140930,472264800,30239800
600036.SH,招商银行,20140630,503312200,28636400
600036.SH,招商银行,20140331,440454900,28384200
600036.SH,招商银行,20131231,401639900,26595600
600036.SH,招商银行,20130930,388537200,25727400
600036.SH,招商银行,20130630,381062900,21249800
600036.SH,招商银行,20130331,351342600,21455700
600036.SH,招商银行,20121231,340809900,20040100
600036.SH,招商银行,20120930,314461800,19095400
600036.SH,招商银行,20120630,332270100,18136200
600036.SH,招商银行,20120331,296357900,17727300
600036.SH,招商银行,20111231,279497100,16501000
600036.SH,招商银行,20110930,263327800,15384800
600036.SH,招商银行,20110630,264320500,14543200
600036.SH,招商银行,20110331,258472300,14277700
600036.SH,招商银行,20101231,240250700,13400600
600036.SH,招商银行,20100930,235956400,13310800
600036.SH,招商银行,20100630,228248200,12484100
600036.SH,招商银行,20100331,219927500,11821400
600036.SH,招商银行,20091231,206794100,9278300
600036.SH,招商银行,20090930,201690100,8750500
600036.SH,招商银行,20090630,197276800,8418500
600036.SH,招商银行,20090331,180083900,8217100
600036.SH,招商银行,20081231,157179700,7978100
600036.SH,招商银行,20080930,154724900,9001200
600036.SH,招商银行,20080630,139579100,7749600
600036.SH,招商银行,20080331,137378600,7476200
600036.SH,招商银行,20071231,131055200,6798400
600036.SH,招商银行,20070930,121936600,6294600
600036.SH,招商银行,20070630,110877600,5923600
600036.SH,招商银行,20070331,98469300,5731100
600036.SH,招商银行,20061231,93410223.8,5516052.4
600036.SH,招商银行,20060930,87400911.1,5089503.1
600036.SH,招商银行,20060630,82431587.5,3274276.2
