stockid,stockname,date,revenue,interestincome,interestexpense,noninterestexpense,adminexpense
000001.SZ,平安银行,19940630,"48,449.48 ","48,045.41 ",0.00 ,20.50 ,0.00 
000001.SZ,平安银行,19931231,"61,884.86 ","61,884.86 ",0.00 ,0.00 ,0.00 
000001.SZ,平安银行,19930630,"26,649.55 ","26,649.55 ",0.00 ,0.00 ,0.00 
000001.SZ,平安银行,19921231,"47,551.08 ","47,551.08 ",0.00 ,0.00 ,0.00 
000001.SZ,平安银行,19911231,"33,469.00 ","33,469.00 ",0.00 ,0.00 ,0.00 
002142.SZ,宁波银行,20140930,"1,108,633.50 ","2,094,882.00 ","1,108,612.50 ","14,789.70 ","345,650.90 "
002142.SZ,宁波银行,20140630,"729,429.20 ","1,400,893.00 ","764,033.10 ","9,365.90 ","230,705.10 "
002142.SZ,宁波银行,20140331,"352,970.90 ","675,734.30 ","361,551.90 ","4,191.20 ","111,419.70 "
002142.SZ,宁波银行,20131231,"1,276,147.90 ","2,349,634.70 ","1,223,620.10 ","17,649.20 ","444,866.80 "
002142.SZ,宁波银行,20130930,"927,709.10 ","1,737,514.30 ","909,510.30 ","12,621.60 ","295,455.90 "
002142.SZ,宁波银行,20130630,"612,366.60 ","1,169,718.90 ","627,061.30 ","7,887.50 ","188,267.80 "
002142.SZ,宁波银行,20130331,"293,720.70 ","595,162.10 ","324,786.90 ","3,726.20 ","92,527.50 "
002142.SZ,宁波银行,20121231,"1,034,183.60 ","1,784,858.00 ","862,418.00 ","16,014.30 ","352,939.50 "
002142.SZ,宁波银行,20120930,"762,516.20 ","1,281,481.20 ","611,371.60 ","11,425.50 ","244,646.90 "
002142.SZ,宁波银行,20120630,"496,197.30 ","829,743.80 ","395,904.10 ","6,798.60 ","159,207.90 "
002142.SZ,宁波银行,20120331,"240,259.50 ","407,859.00 ","202,511.20 ","3,060.80 ","76,603.00 "
002142.SZ,宁波银行,20111231,"796,613.30 ","1,459,023.80 ","772,161.40 ","13,046.50 ","289,790.70 "
002142.SZ,宁波银行,20110930,"570,637.40 ","1,035,124.10 ","546,033.60 ","9,051.70 ","200,404.70 "
002142.SZ,宁波银行,20110630,"363,621.50 ","669,497.50 ","361,646.00 ","5,773.10 ","130,627.80 "
002142.SZ,宁波银行,20110331,"169,085.90 ","317,145.60 ","168,993.80 ","2,777.00 ","64,283.70 "
002142.SZ,宁波银行,20101231,"591,191.80 ","921,414.90 ","395,726.00 ","10,856.20 ","225,500.30 "
002142.SZ,宁波银行,20100930,"415,453.60 ","628,162.20 ","259,897.40 ","7,300.90 ","153,505.90 "
002142.SZ,宁波银行,20100630,"269,666.10 ","386,592.90 ","149,196.40 ","4,905.40 ","100,284.30 "
002142.SZ,宁波银行,20100331,"132,615.80 ","182,317.70 ","67,316.00 ","1,961.40 ","54,363.60 "
002142.SZ,宁波银行,20091231,"417,550.60 ","538,334.30 ","182,853.70 ","6,959.80 ","172,759.50 "
002142.SZ,宁波银行,20090930,"286,268.71 ","374,936.20 ","126,396.72 ","4,560.12 ","115,520.06 "
002142.SZ,宁波银行,20090630,"184,987.23 ","234,888.42 ","77,597.18 ","2,886.69 ","77,346.42 "
002142.SZ,宁波银行,20090331,"95,521.54 ","114,077.63 ","38,936.58 ","1,332.44 ","44,775.27 "
002142.SZ,宁波银行,20081231,"340,379.43 ","495,960.46 ","206,848.40 ","5,396.87 ","136,925.06 "
002142.SZ,宁波银行,20080930,"249,022.36 ","378,616.87 ","162,971.93 ","3,884.86 ","89,135.32 "
002142.SZ,宁波银行,20080630,"160,579.05 ","237,192.54 ","99,824.59 ","2,602.49 ","59,816.01 "
002142.SZ,宁波银行,20080331,"80,388.86 ","107,133.30 ","40,753.48 ",825.35 ,"32,904.74 "
002142.SZ,宁波银行,20071231,"224,378.58 ","312,377.06 ","105,874.61 ","2,122.83 ","81,847.20 "
002142.SZ,宁波银行,20070930,"157,338.06 ","222,272.78 ","76,276.49 ","1,476.01 ","58,274.77 "
002142.SZ,宁波银行,20070630,"99,849.51 ","137,888.67 ","44,636.44 ",886.54 ,"36,747.76 "
002142.SZ,宁波银行,20070331,"48,564.47 ","65,133.78 ","19,652.07 ",417.57 ,"17,733.66 "
002142.SZ,宁波银行,20061231,"160,080.37 ","221,940.11 ","73,560.15 ","1,634.19 ","60,177.90 "
002142.SZ,宁波银行,20060930,"115,729.87 ","160,419.54 ","53,816.74 ","1,075.08 ","42,990.09 "
002142.SZ,宁波银行,20060630,"72,315.43 ","99,522.77 ","33,425.46 ",609.66 ,"28,190.88 "
002142.SZ,宁波银行,20051231,"123,057.39 ","165,873.44 ","49,065.26 ","2,060.46 ","46,605.72 "
002142.SZ,宁波银行,20041231,"103,921.51 ","133,595.08 ","38,756.09 ","1,139.10 ","39,913.85 "
600000.SH,浦发银行,20140930,"8,977,300.00 ","15,619,500.00 ","8,442,100.00 ","63,700.00 ","2,066,500.00 "
600000.SH,浦发银行,20140630,"5,904,300.00 ","10,284,000.00 ","5,615,200.00 ","40,500.00 ","1,343,700.00 "
600000.SH,浦发银行,20140331,"2,760,200.00 ","4,953,200.00 ","2,776,300.00 ","20,100.00 ","703,400.00 "
600000.SH,浦发银行,20131231,"10,001,500.00 ","17,857,900.00 ","9,262,700.00 ","66,900.00 ","2,583,000.00 "
600000.SH,浦发银行,20130930,"7,247,700.00 ","12,954,400.00 ","6,775,900.00 ","47,700.00 ","1,946,600.00 "
600000.SH,浦发银行,20130630,"4,651,800.00 ","8,308,200.00 ","4,346,500.00 ","33,300.00 ","1,302,100.00 "
600000.SH,浦发银行,20130331,"2,201,100.00 ","3,927,500.00 ","2,065,400.00 ","16,000.00 ","666,100.00 "
600000.SH,浦发银行,20121231,"8,295,200.00 ","15,058,500.00 ","7,688,100.00 ","57,500.00 ","2,381,400.00 "
600000.SH,浦发银行,20120930,"6,082,991.90 ","11,207,168.90 ","5,789,838.40 ","40,855.70 ","1,708,435.00 "
600000.SH,浦发银行,20120630,"4,000,299.20 ","7,422,022.30 ","3,852,860.30 ","27,682.70 ","1,150,816.80 "
600000.SH,浦发银行,20120331,"1,990,885.60 ","3,730,475.10 ","1,942,606.90 ","15,123.80 ","637,559.80 "
600000.SH,浦发银行,20111231,"6,791,767.20 ","12,142,973.60 ","5,977,967.50 ","48,908.30 ","1,955,358.30 "
600000.SH,浦发银行,20110930,"4,930,742.67 ","8,414,498.64 ","3,965,308.06 ","32,693.55 ","1,533,546.25 "
600000.SH,浦发银行,20110630,"3,186,510.80 ","5,249,403.20 ","2,384,398.50 ","20,780.90 ","1,055,359.70 "
600000.SH,浦发银行,20110331,"1,519,598.82 ","2,453,653.43 ","1,074,361.81 ","9,518.65 ","525,678.81 "
600000.SH,浦发银行,20101231,"4,985,585.07 ","7,328,779.76 ","2,776,342.19 ","41,292.54 ","1,648,012.12 "
600000.SH,浦发银行,20100930,"3,589,171.27 ","5,216,080.25 ","1,960,835.92 ","28,018.96 ","1,198,338.70 "
600000.SH,浦发银行,20100630,"2,275,149.07 ","3,276,883.82 ","1,225,635.61 ","19,188.63 ","783,923.50 "
600000.SH,浦发银行,20100331,"1,072,401.53 ","1,563,731.75 ","590,633.86 ","10,108.34 ","375,841.23 "
600000.SH,浦发银行,20091231,"3,682,393.22 ","6,057,415.17 ","2,665,165.61 ","51,345.29 ","1,325,348.04 "
600000.SH,浦发银行,20090930,"2,634,216.27 ","4,499,029.47 ","2,076,302.71 ","37,027.34 ","851,576.36 "
600000.SH,浦发银行,20090630,"1,667,737.11 ","2,977,225.79 ","1,450,577.32 ","23,395.84 ","426,330.09 "
600000.SH,浦发银行,20090331,"790,203.03 ","1,472,094.06 ","749,289.88 ","13,171.51 ","198,183.18 "
600000.SH,浦发银行,20081231,"3,456,056.68 ","5,593,995.97 ","2,418,696.43 ","54,040.64 ","1,267,879.93 "
600000.SH,浦发银行,20080930,"2,570,744.43 ","4,291,601.71 ","1,932,635.69 ","36,185.35 ","904,308.94 "
600000.SH,浦发银行,20080630,"1,670,613.48 ","2,762,228.56 ","1,231,268.43 ","24,042.83 ","575,584.55 "
600000.SH,浦发银行,20080331,"803,793.46 ","1,312,447.37 ","553,003.03 ","11,947.14 ","270,838.77 "
600000.SH,浦发银行,20071231,"2,587,643.43 ","3,868,899.07 ","1,426,254.47 ","47,413.19 ","953,862.47 "
