stockid,stockname,date,ROE,ROA
601169.SH,北京银行,20080331,0.0579,0.0044
601169.SH,北京银行,20071231,0.0346,0.0028
601169.SH,北京银行,20070930,0.0431,0.0037
601169.SH,北京银行,20070331,0.0546,0.0021
601169.SH,北京银行,20061231,0.0492,0.0018
601288.SH,农业银行,20140930,0.052,0.003
601288.SH,农业银行,20140630,0.0559,0.0032
601288.SH,农业银行,20140331,0.0612,0.0036
601288.SH,农业银行,20131231,0.0339,0.0019
601288.SH,农业银行,20130930,0.0565,0.0032
601288.SH,农业银行,20130630,0.0571,0.0032
601288.SH,农业银行,20130331,0.0607,0.0034
601288.SH,农业银行,20121231,0.0339,0.0019
601288.SH,农业银行,20120930,0.0558,0.003
601288.SH,农业银行,20120630,0.0535,0.0029
601288.SH,农业银行,20120331,0.0647,0.0036
601288.SH,农业银行,20111231,0.0333,0.0018
601288.SH,农业银行,20110930,0.0564,0.003
601288.SH,农业银行,20110630,0.0559,0.0029
601288.SH,农业银行,20110331,0.0609,0.0032
601288.SH,农业银行,20101231,0.0462,0.0024
601288.SH,农业银行,20100930,0.0551,0.0025
601288.SH,农业银行,20100630,0.0589,0.0022
601288.SH,农业银行,20091231,0.0394,0.0015
601328.SH,交通银行,20140930,0.0329,0.0024
601328.SH,交通银行,20140630,0.0411,0.003
601328.SH,交通银行,20140331,0.0435,0.0031
601328.SH,交通银行,20131231,0.0328,0.0023
601328.SH,交通银行,20130930,0.0345,0.0024
601328.SH,交通银行,20130630,0.0431,0.003
601328.SH,交通银行,20130331,0.0455,0.0033
601328.SH,交通银行,20121231,0.0371,0.0027
601328.SH,交通银行,20120930,0.0404,0.0026
601328.SH,交通银行,20120630,0.0519,0.003
601328.SH,交通银行,20120331,0.0567,0.0034
601328.SH,交通银行,20111231,0.0465,0.0027
601328.SH,交通银行,20110930,0.0476,0.0028
601328.SH,交通银行,20110630,0.0542,0.0031
601328.SH,交通银行,20110331,0.0579,0.0033
601328.SH,交通银行,20101231,0.0434,0.0025
601328.SH,交通银行,20100930,0.0446,0.0025
601328.SH,交通银行,20100630,0.0534,0.0027
601328.SH,交通银行,20100331,0.0617,0.0031
601328.SH,交通银行,20091231,0.0443,0.0022
601328.SH,交通银行,20090930,0.0473,0.0023
601328.SH,交通银行,20090630,0.0496,0.0024
601328.SH,交通银行,20090331,0.0534,0.0028
601328.SH,交通银行,20081231,0.0399,0.0022
601328.SH,交通银行,20080930,0.0533,0.003
601328.SH,交通银行,20080630,0.0566,0.0033
601328.SH,交通银行,20080331,0.0598,0.0036
601328.SH,交通银行,20071231,0.0457,0.0027
601328.SH,交通银行,20070930,0.0482,0.0027
601328.SH,交通银行,20070630,0.0475,0.0026
601328.SH,交通银行,20070331,0.0415,0.0022
601328.SH,交通银行,20061231,0.0362,0.0019
601398.SH,工商银行,20140930,0.052,0.0036
601398.SH,工商银行,20140630,0.0551,0.0037
601398.SH,工商银行,20140331,0.0557,0.0038
601398.SH,工商银行,20131231,0.0456,0.003
601398.SH,工商银行,20130930,0.0559,0.0036
601398.SH,工商银行,20130630,0.0588,0.0038
601398.SH,工商银行,20130331,0.0593,0.0038
601398.SH,工商银行,20121231,0.0482,0.003
601398.SH,工商银行,20120930,0.0598,0.0036
601398.SH,工商银行,20120630,0.0607,0.0037
601398.SH,工商银行,20120331,0.062,0.0038
601398.SH,工商银行,20111231,0.0478,0.0029
601398.SH,工商银行,20110930,0.0618,0.0036
601398.SH,工商银行,20110630,0.0644,0.0038
601398.SH,工商银行,20110331,0.0636,0.0039
601398.SH,工商银行,20101231,0.0482,0.0028
601398.SH,工商银行,20100930,0.0584,0.0032
601398.SH,工商银行,20100630,0.0605,0.0034
601398.SH,工商银行,20100331,0.0597,0.0034
601398.SH,工商银行,20091231,0.0435,0.0025
601398.SH,工商银行,20090930,0.0532,0.0029
601398.SH,工商银行,20090630,0.0497,0.0028
601398.SH,工商银行,20090331,0.0567,0.0034
601398.SH,工商银行,20081231,0.0304,0.0019
601398.SH,工商银行,20080930,0.0498,0.003
601398.SH,工商银行,20080630,0.0563,0.0034
601398.SH,工商银行,20080331,0.0599,0.0037
601398.SH,工商银行,20071231,0.0339,0.0021
601398.SH,工商银行,20070930,0.0441,0.0027
601398.SH,工商银行,20070630,0.045,0.0028
601398.SH,工商银行,20070331,0.0393,0.0025
601818.SH,光大银行,20140930,0.0443,0.0029
601818.SH,光大银行,20140630,0.0467,0.0029
601818.SH,光大银行,20140331,0.0516,0.0033
601818.SH,光大银行,20131231,0.0354,0.0021
601818.SH,光大银行,20130930,0.0521,0.0027
601818.SH,光大银行,20130630,0.0558,0.0029
601818.SH,光大银行,20130331,0.0673,0.0034
601818.SH,光大银行,20121231,0.0407,0.002
601818.SH,光大银行,20120930,0.057,0.0028
601818.SH,光大银行,20120630,0.0584,0.003
601818.SH,光大银行,20120331,0.0689,0.0037
601818.SH,光大银行,20111231,0.0421,0.0023
601818.SH,光大银行,20110930,0.0555,0.003
601818.SH,光大银行,20110630,0.0503,0.0026
601818.SH,光大银行,20110331,0.058,0.0031
601818.SH,光大银行,20101231,0.0339,0.0018
601818.SH,光大银行,20100930,0.0477,0.0022
601818.SH,光大银行,20100630,0.0543,0.0021
601818.SH,光大银行,20091231,0.0369,0.0015
601939.SH,建设银行,20140930,0.0511,0.0036
601939.SH,建设银行,20140630,0.057,0.004
601939.SH,建设银行,20140331,0.0597,0.0042
601939.SH,建设银行,20131231,0.0362,0.0025
601939.SH,建设银行,20130930,0.0558,0.0038
601939.SH,建设银行,20130630,0.0603,0.0041
601939.SH,建设银行,20130331,0.0613,0.0042
601939.SH,建设银行,20121231,0.0378,0.0026
601939.SH,建设银行,20120930,0.0586,0.0039
601939.SH,建设银行,20120630,0.0634,0.0041
601939.SH,建设银行,20120331,0.0615,0.004
601939.SH,建设银行,20111231,0.0382,0.0025
601939.SH,建设银行,20110930,0.0613,0.0039
601939.SH,建设银行,20110630,0.0617,0.004
601939.SH,建设银行,20110331,0.0655,0.0043
601939.SH,建设银行,20101231,0.037,0.0023
601939.SH,建设银行,20100930,0.0664,0.0038
601939.SH,建设银行,20100630,0.0609,0.0035
601939.SH,建设银行,20100331,0.0613,0.0036
601939.SH,建设银行,20091231,0.0379,0.0022
601939.SH,建设银行,20090930,0.0584,0.0033
601939.SH,建设银行,20090630,0.0593,0.0033
601939.SH,建设银行,20090331,0.0548,0.0032
601939.SH,建设银行,20081231,0.0177,0.0011
601939.SH,建设银行,20080930,0.0549,0.0036
601939.SH,建设银行,20080630,0.0589,0.0038
601939.SH,建设银行,20080331,0.074,0.0048
601939.SH,建设银行,20071231,0.0297,0.0019
601939.SH,建设银行,20070930,0.0638,0.0036
601988.SH,中国银行,20140930,0.042,0.0028
601988.SH,中国银行,20140630,0.0458,0.003
601988.SH,中国银行,20140331,0.0478,0.0033
601988.SH,中国银行,20131231,0.0405,0.0028
601988.SH,中国银行,20130930,0.0454,0.0031
601988.SH,中国银行,20130630,0.0477,0.0032
601988.SH,中国银行,20130331,0.0472,0.0032
601988.SH,中国银行,20121231,0.0412,0.0027
601988.SH,中国银行,20120930,0.0449,0.0028
601988.SH,中国银行,20120630,0.0459,0.0028
601988.SH,中国银行,20120331,0.0495,0.0031
601988.SH,中国银行,20111231,0.0393,0.0025
601988.SH,中国银行,20110930,0.0437,0.0027
601988.SH,中国银行,20110630,0.0491,0.0031
601988.SH,中国银行,20110331,0.0506,0.0032
601988.SH,中国银行,20101231,0.0416,0.0026
601988.SH,中国银行,20100930,0.0494,0.0029
601988.SH,中国银行,20100630,0.0479,0.0028
601988.SH,中国银行,20100331,0.0495,0.003
601988.SH,中国银行,20091231,0.0371,0.0024
601988.SH,中国银行,20090930,0.0434,0.0026
601988.SH,中国银行,20090630,0.0469,0.003
601988.SH,中国银行,20090331,0.0388,0.0026
601988.SH,中国银行,20081231,0.0094,0.0005
601988.SH,中国银行,20080930,0.0386,0.0026
601988.SH,中国银行,20080630,0.0464,0.0034
601988.SH,中国银行,20080331,0.0498,0.0037
601988.SH,中国银行,20071231,0.0248,0.002
601988.SH,中国银行,20070930,0.0386,0.0029
601988.SH,中国银行,20070630,0.0444,0.0034
601988.SH,中国银行,20070331,0.0309,0.0025
601988.SH,中国银行,20061231,0.025,0.0021
601988.SH,中国银行,20060930,0.0352,0.0027
601988.SH,中国银行,20060630,0.0264,0.0021
601998.SH,中信银行,20140930,0.0419,0.0025
601998.SH,中信银行,20140630,0.0475,0.0028
601998.SH,中信银行,20140331,0.0462,0.0029
601998.SH,中信银行,20131231,0.0373,0.0024
601998.SH,中信银行,20130930,0.0486,0.0031
601998.SH,中信银行,20130630,0.0533,0.0035
601998.SH,中信银行,20130331,0.0454,0.0031
601998.SH,中信银行,20121231,0.0194,0.0013
601998.SH,中信银行,20120930,0.041,0.0027
601998.SH,中信银行,20120630,0.0582,0.0039
601998.SH,中信银行,20120331,0.0479,0.0032
601998.SH,中信银行,20111231,0.0384,0.0026
601998.SH,中信银行,20110930,0.0605,0.004
601998.SH,中信银行,20110630,0.065,0.004
601998.SH,中信银行,20110331,0.0527,0.0031
601998.SH,中信银行,20101231,0.0364,0.0022
601998.SH,中信银行,20100930,0.0574,0.0034
601998.SH,中信银行,20100630,0.0586,0.0035
601998.SH,中信银行,20100331,0.041,0.0025
601998.SH,中信银行,20091231,0.0284,0.002
601998.SH,中信银行,20090930,0.0429,0.0031
601998.SH,中信银行,20090630,0.0387,0.0029
601998.SH,中信银行,20090331,0.0334,0.0026
601998.SH,中信银行,20081231,0.0092,0.0008
601998.SH,中信银行,20080930,0.0437,0.0037
601998.SH,中信银行,20080630,0.048,0.0039
601998.SH,中信银行,20080331,0.0492,0.004
601998.SH,中信银行,20071231,0.0368,0.0031
601998.SH,中信银行,20070930,0.0255,0.0023
