stockid,stockname,date,lag_close,open,high,low,close,volume,amount
881001.WI,万得全A,20130723,2131.6978,2139.0296,2193.302,2138.2036,2190.0667,21801721341,2.16E+11
881001.WI,万得全A,20130724,2190.0667,2182.1805,2196.1884,2154.907,2190.0674,21857501750,2.25E+11
881001.WI,万得全A,20130725,2190.0674,2192.9576,2202.09,2155.5954,2162.2546,20610790969,2.09E+11
881001.WI,万得全A,20130726,2162.2546,2153.1273,2168.3107,2133.674,2155.8962,15831747022,1.59E+11
881001.WI,万得全A,20130729,2155.8962,2141.5569,2141.5569,2107.4662,2112.6081,16141694646,1.57E+11
881001.WI,万得全A,20130730,2112.6081,2116.6337,2139.452,2083.7578,2115.9308,15804751411,1.55E+11
881001.WI,万得全A,20130731,2115.9308,2130.8297,2149.6573,2116.5076,2123.2617,14535154367,1.42E+11
881001.WI,万得全A,20130801,2123.2617,2178.8536,2178.8536,2178.8536,2178.8536,18752099990,1.84E+11
881001.WI,万得全A,20130802,2178.8536,2183.5817,2183.5817,2183.5817,2183.5817,19710608930,1.96E+11
881001.WI,万得全A,20130805,2183.5817,2184.7528,2216.1778,2182.4188,2216.1778,17598003363,1.74E+11
881001.WI,万得全A,20130806,2216.1778,2211.6017,2241.5066,2202.2919,2235.3115,21416754585,2.08E+11
881001.WI,万得全A,20130807,2235.3115,2233.074,2245.8151,2212.2501,2216.1088,21718251163,2.11E+11
881001.WI,万得全A,20130808,2216.1088,2212.4893,2234.6915,2205.6437,2218.7346,17116006624,1.69E+11
881001.WI,万得全A,20130809,2218.7346,2226.4021,2240.4483,2198.4031,2226.6079,19019793634,1.89E+11
881001.WI,万得全A,20130812,2226.6079,2234.2994,2274.6617,2232.823,2274.6617,24815358367,2.39E+11
881001.WI,万得全A,20130813,2274.6617,2285.2903,2285.2903,2285.2903,2285.2903,21961101969,2.00E+11
881001.WI,万得全A,20130814,2285.2903,2278.0506,2278.0506,2278.0506,2278.0506,22164868612,2.08E+11
881001.WI,万得全A,20130815,2278.0506,2276.2101,2286.4042,2251.0596,2252.2685,19100895273,1.87E+11
881001.WI,万得全A,20130816,2252.2685,2242.3338,2309.9186,2218.4363,2219.2088,26780165264,2.44E+11
881001.WI,万得全A,20130819,2219.2088,2203.323,2256.9564,2200.9122,2254.9359,18160898788,1.74E+11
881001.WI,万得全A,20130820,2254.9359,2250.2125,2273.5117,2235.1623,2244.6768,19858502853,1.91E+11
881001.WI,万得全A,20130821,2244.6768,2247.9867,2251.4426,2228.0359,2250.2605,17548269220,1.68E+11
881001.WI,万得全A,20130822,2250.2605,2245.7154,2265.8126,2241.8235,2251.2964,18453577202,1.79E+11
881001.WI,万得全A,20130823,2251.2964,2259.5691,2264.6953,2203.3072,2241.4076,21957285482,2.17E+11
881001.WI,万得全A,20130826,2241.4076,2246.3862,2289.4788,2243.517,2289.4508,21774626946,2.11E+11
881001.WI,万得全A,20130827,2289.4508,2287.8528,2302.0722,2281.2343,2302.0611,22444936339,2.14E+11
881001.WI,万得全A,20130828,2302.0611,2287.5617,2304.991,2270.7025,2285.4189,27677181034,2.60E+11
881001.WI,万得全A,20130829,2285.4189,2290.9359,2295.5508,2268.1963,2280.5502,23185927111,2.09E+11
881001.WI,万得全A,20130830,2280.5502,2279.3382,2295.4453,2253.2586,2263.4411,29111683230,2.57E+11
881001.WI,万得全A,20130902,2263.4411,2267.4238,2281.1059,2245.94,2275.497,24299254288,2.16E+11
881001.WI,万得全A,20130903,2275.497,2278.1561,2310.8684,2274.6261,2310.8608,23970582728,2.15E+11
881001.WI,万得全A,20130904,2310.8608,2310.2085,2319.1495,2302.5654,2311.2972,24571047557,2.22E+11
881001.WI,万得全A,20130905,2311.2972,2309.5943,2317.3296,2301.3869,2310.6908,22411941414,2.13E+11
881001.WI,万得全A,20130906,2310.6908,2306.8148,2331.3662,2306.0635,2328.5526,23629974718,2.22E+11
881001.WI,万得全A,20130909,2328.5526,2338.954,2384.8224,2336.7125,2381.5211,34124788792,3.10E+11
881001.WI,万得全A,20130910,2381.5211,2388.3345,2409.7133,2388.3345,2409.7133,36479008613,3.25E+11
881001.WI,万得全A,20130911,2409.7133,2415.1216,2424.432,2389.2096,2400.3912,39348631059,3.43E+11
881001.WI,万得全A,20130912,2400.3912,2395.7766,2427.6207,2390.5774,2415.7427,32033120565,2.78E+11
881001.WI,万得全A,20130913,2415.7427,2412.367,2420.7234,2398.0067,2410.4245,27335132138,2.45E+11
881001.WI,万得全A,20130916,2410.4245,2417.766,2424.8711,2400.6616,2410.5307,25280932554,2.41E+11
881001.WI,万得全A,20130917,2410.5307,2411.2348,2411.2348,2364.2486,2364.7648,25171259006,2.37E+11
881001.WI,万得全A,20130918,2364.7648,2366.527,2379.9123,2352.7846,2378.7262,19392289019,1.92E+11
881001.WI,万得全A,20130923,2378.7262,2392.2726,2422.9623,2387.3761,2422.9623,23236634717,2.36E+11
881001.WI,万得全A,20130924,2422.9623,2421.666,2421.666,2385.1243,2410.3926,27217151435,2.72E+11
881001.WI,万得全A,20130925,2410.3926,2407.6588,2420.3619,2392.5896,2397.6218,27296466172,2.71E+11
881001.WI,万得全A,20130926,2397.6218,2391.1595,2391.6763,2350.8682,2352.0298,24249895874,2.41E+11
881001.WI,万得全A,20130927,2352.0298,2349.694,2369.0572,2349.1464,2361.2407,18757349611,1.93E+11
881001.WI,万得全A,20130930,2361.2407,2377.4819,2385.7764,2370.9636,2385.7764,16701095445,1.79E+11
881001.WI,万得全A,20131008,2385.7764,2385.1875,2423.8282,2375.9461,2421.8874,22704065598,2.37E+11
881001.WI,万得全A,20131009,2421.8874,2414.7926,2443.9107,2407.3883,2443.9107,23605072987,2.45E+11
881001.WI,万得全A,20131010,2443.9107,2446.969,2446.969,2415.4449,2421.6696,27199791691,2.78E+11
881001.WI,万得全A,20131011,2421.6696,2431.8112,2459.8817,2431.8112,2459.191,27543820325,2.78E+11
881001.WI,万得全A,20131014,2459.191,2462.5327,2478.8722,2455.724,2473.714,29424174875,2.99E+11
881001.WI,万得全A,20131015,2473.714,2476.3224,2479.5246,2452.7083,2471.0884,28193627725,2.85E+11
881001.WI,万得全A,20131016,2471.0884,2463.5609,2463.5609,2399.3139,2411.0938,27870382017,2.76E+11
881001.WI,万得全A,20131017,2411.0938,2421.3684,2434.3716,2399.4056,2405.4876,23617045018,2.35E+11
881001.WI,万得全A,20131018,2405.4876,2405.8142,2425.9451,2401.0589,2419.2661,19231451631,1.93E+11
881001.WI,万得全A,20131021,2419.2661,2425.0105,2473.2437,2420.4583,2473.2336,25586074022,2.61E+11
881001.WI,万得全A,20131022,2473.2336,2472.4097,2476.073,2439.9579,2446.0026,28538347880,2.93E+11
881001.WI,万得全A,20131023,2446.0026,2447.2036,2459.0642,2392.2398,2401.3803,27005671762,2.62E+11
881001.WI,万得全A,20131024,2401.3803,2394.7602,2404.9915,2378.4704,2383.3206,18720178039,1.84E+11
881001.WI,万得全A,20131025,2383.3206,2383.8985,2394.4671,2330.6674,2344.9795,20969631562,2.08E+11
881001.WI,万得全A,20131028,2344.9795,2346.2359,2351.1177,2327.9563,2342.1083,17102345254,1.68E+11
881001.WI,万得全A,20131029,2342.1083,2342.4056,2367.9475,2263.9726,2315.1762,26467063559,2.44E+11
881001.WI,万得全A,20131030,2315.1762,2311.6746,2351.4207,2307.8704,2351.42,21043915963,1.93E+11
881001.WI,万得全A,20131031,2351.42,2343.8654,2343.8654,2316.7289,2318.8737,19940657900,1.83E+11
881001.WI,万得全A,20131101,2318.8737,2313.7391,2329.9054,2297.3794,2319.5475,16245290386,1.55E+11
881001.WI,万得全A,20131104,2319.5475,2325.2451,2337.7305,2318.7212,2324.36,14142937703,1.38E+11
881001.WI,万得全A,20131105,2324.36,2314.721,2342.6192,2294.5125,2342.6119,17154253575,1.64E+11
881001.WI,万得全A,20131106,2342.6119,2333.5167,2351.6189,2316.9697,2316.9745,19146893145,1.85E+11
881001.WI,万得全A,20131107,2316.9745,2311.5929,2317.292,2286.5489,2294.8829,15497259202,1.49E+11
881001.WI,万得全A,20131108,2294.8829,2283.859,2292.961,2258.6454,2261.9285,15235537277,1.44E+11
881001.WI,万得全A,20131111,2261.9285,2259.0332,2280.8851,2246.1996,2272.2524,12838594872,1.25E+11
881001.WI,万得全A,20131112,2272.2524,2273.7589,2296.5424,2269.9438,2295.8382,14693974745,1.44E+11
881001.WI,万得全A,20131113,2295.8382,2286.2174,2286.2174,2248.7025,2248.7408,15751648473,1.49E+11
881001.WI,万得全A,20131114,2248.7408,2247.3581,2274.0322,2234.3483,2273.7583,15726273738,1.57E+11
881001.WI,万得全A,20131115,2273.7583,2275.1569,2341.9665,2275.1569,2320.4968,22566220598,2.29E+11
881001.WI,万得全A,20131118,2320.4968,2335.4351,2388.0359,2331.2011,2388.0341,26815575540,2.68E+11
881001.WI,万得全A,20131119,2388.0341,2388.6021,2393.0584,2373.56,2384.0799,22698410984,2.31E+11
