stockid,stockname,date,asset,asset,equity,eta
600000.SH,浦发银行,20120630,303643242.2,19.53136402,16389532.4,0.053976279
600000.SH,浦发银行,20120331,280464656.7,19.45195827,15774637.5,0.056244654
600000.SH,浦发银行,20111231,268469368.9,19.40824738,14954278,0.05570199
600000.SH,浦发银行,20110930,252141729.5,19.34550191,14000818.14,0.055527572
600000.SH,浦发银行,20110630,245523999.4,19.31890526,13364094.8,0.05443091
600000.SH,浦发银行,20110331,227013601.1,19.24052049,12941399.03,0.057007153
600000.SH,浦发银行,20101231,219141077.4,19.20522627,12327985.05,0.05625593
600000.SH,浦发银行,20100930,197571839.1,19.10161282,8181726.83,0.041411402
600000.SH,浦发银行,20100630,178126137.5,18.9980025,7606769.55,0.042704398
600000.SH,浦发银行,20100331,166155663.6,18.92843564,7234164.91,0.043538479
600000.SH,浦发银行,20091231,162271796,18.90478324,6808744.59,0.041958891
600000.SH,浦发银行,20090930,158738292.2,18.88276744,6512171.19,0.041024576
600000.SH,浦发银行,20090630,161948257.6,18.90278744,4685610.17,0.028932761
600000.SH,浦发银行,20090331,150014126.5,18.82624002,4502332.2,0.030012722
600000.SH,浦发银行,20081231,130942544.2,18.69026919,4170179.93,0.031847403
600000.SH,浦发银行,20080930,111545552.6,18.52994361,3809718.42,0.034153925
600000.SH,浦发银行,20080630,100261052.2,18.42328786,3460707.16,0.034516964
600000.SH,浦发银行,20080331,95003205.8,18.36942119,3141903.67,0.033071554
600000.SH,浦发银行,20071231,91498034.6,18.33182805,2829786.8,0.030927296
600000.SH,浦发银行,20070930,84441547.23,18.2515701,2740815.14,0.032458135
600000.SH,浦发银行,20070630,76985389.79,18.15912622,2611129.79,0.033917212
600000.SH,浦发银行,20070331,70412690.92,18.06988407,2568705.45,0.036480717
600000.SH,浦发银行,20061231,68934415.47,18.04866611,2470612.8,0.035840049
600000.SH,浦发银行,20060930,63793483.52,17.9711616,1789122.73,0.028045541
600000.SH,浦发银行,20060630,63023226.7,17.95901389,1706633.08,0.02707943
600000.SH,浦发银行,20060331,59944335.56,17.90892695,1567963.96,0.026157
600000.SH,浦发银行,20051231,57352267.14,17.86472293,1596946.29,0.027844519
600000.SH,浦发银行,20050930,51945550.25,17.76570662,1481218.59,0.028514831
600000.SH,浦发银行,20050630,49245153.08,17.71232151,1414336.72,0.028720323
600000.SH,浦发银行,20050331,45726453.53,17.63818754,1402406.28,0.030669474
600000.SH,浦发银行,20041231,45553228.64,17.63439206,1351030.37,0.029658279
600000.SH,浦发银行,20040930,42370892.87,17.5619722,1296390.72,0.030596257
600000.SH,浦发银行,20040630,41388950.22,17.5385245,1245371.86,0.030089477
600000.SH,浦发银行,20040331,39190124.54,17.48393535,1199589.07,0.030609473
600000.SH,浦发银行,20031231,37105669.81,17.42928034,1201092.29,0.032369508
600000.SH,浦发银行,20030930,36130038.77,17.40263518,1152689.6,0.031903913
600000.SH,浦发银行,20030630,34266540,17.34967993,1110166.93,0.032397987
600000.SH,浦发银行,20030331,27961613.86,17.14634319,1076046.01,0.038482972
600000.SH,浦发银行,20021231,27930071.93,17.14521451,796047.65,0.028501454
600000.SH,浦发银行,20020930,24324312.48,17.00698692,792135.92,0.032565604
600000.SH,浦发银行,20020630,20903674.91,16.85543553,760810.93,0.036396037
600000.SH,浦发银行,20020331,17716654.8,16.6900157,733241.4,0.041387125
600000.SH,浦发银行,20011231,17369068.3,16.6702015,706666.7,0.040685354
600000.SH,浦发银行,20010930,16273174.79,16.60502859,821857.85,0.050503842
600000.SH,浦发银行,20010630,15063869.17,16.52780966,793143.91,0.052652071
600000.SH,浦发银行,20001231,13072243.17,16.3860017,744476.95,0.056950972
600000.SH,浦发银行,20000630,11339809.78,16.24383008,830631.96,0.073249197
600000.SH,浦发银行,19991231,10320967.8,16.14968809,777605.31,0.075342286
600000.SH,浦发银行,19990630,8720319.9,15.98116648,383947.7,0.044029084
600000.SH,浦发银行,19981231,8733821.7,15.9827136,333350.6,0.038167782
600000.SH,浦发银行,19971231,8164033.2,15.91524887,317171.8,0.038849891
600000.SH,浦发银行,19961231,6506717,15.68834559,157990.8,0.024281185
600015.SH,华夏银行,20140930,178409200,18.99959035,9690200,0.054314464
600015.SH,华夏银行,20140630,177856000,18.99648479,9207800,0.051771096
600015.SH,华夏银行,20140331,173419300,18.97122292,9030000,0.052070329
600015.SH,华夏银行,20131231,167244700,18.93496857,8601900,0.05143302
600015.SH,华夏银行,20130930,155180900,18.86010209,8253200,0.05318438
600015.SH,华夏银行,20130630,150715200,18.83090252,8266700,0.054849809
600015.SH,华夏银行,20130331,151906137.2,18.83877337,7790471.51,0.051284771
600015.SH,华夏银行,20121231,148886006.4,18.81869151,7472262.42,0.050187809
600015.SH,华夏银行,20120930,144644191.6,18.78978743,7118952.67,0.049216996
600015.SH,华夏银行,20120630,135451513.1,18.7241243,6861321.51,0.050655185
600015.SH,华夏银行,20120331,125006398.6,18.64387548,6631811.65,0.053051778
