stockid,stockname,date,close,stockvalue
600016.SH,民生银行,20070823,7.4817,2.40353E+11
600016.SH,民生银行,20070824,7.7025,2.47447E+11
600016.SH,民生银行,20070827,7.8603,2.52515E+11
600016.SH,民生银行,20070828,7.6935,2.47158E+11
600016.SH,民生银行,20070829,7.4952,2.40787E+11
600016.SH,民生银行,20070830,7.707,2.47592E+11
600016.SH,民生银行,20070831,7.6214,2.44841E+11
600016.SH,民生银行,20070903,7.6484,2.4571E+11
600016.SH,民生银行,20070904,7.4862,2.40498E+11
600016.SH,民生银行,20070905,7.4907,2.40642E+11
600016.SH,民生银行,20070906,7.662,2.46144E+11
600016.SH,民生银行,20070907,7.5493,2.42525E+11
600016.SH,民生银行,20070910,7.6079,2.44407E+11
600016.SH,民生银行,20070911,7.0806,2.27466E+11
600016.SH,民生银行,20070912,6.9544,2.23412E+11
600016.SH,民生银行,20070913,7.1887,2.30941E+11
600016.SH,民生银行,20070914,7.1166,2.28625E+11
600016.SH,民生银行,20070917,7.2428,2.32679E+11
600016.SH,民生银行,20070918,7.3059,2.34706E+11
600016.SH,民生银行,20070919,7.1391,2.29349E+11
600016.SH,民生银行,20070920,7.0761,2.27322E+11
600016.SH,民生银行,20070921,7.0039,2.25005E+11
600016.SH,民生银行,20070924,7.049,2.26453E+11
600016.SH,民生银行,20070925,6.8642,2.20516E+11
600016.SH,民生银行,20070926,6.7696,2.17476E+11
600016.SH,民生银行,20070927,6.7966,2.18345E+11
600016.SH,民生银行,20070928,7.1256,2.28914E+11
600016.SH,民生银行,20071008,7.3465,2.36009E+11
600016.SH,民生银行,20071009,7.5177,2.41511E+11
600016.SH,民生银行,20071010,7.5177,2.41511E+11
600016.SH,民生银行,20071011,7.8332,2.51647E+11
600016.SH,民生银行,20071012,7.5763,2.43394E+11
600016.SH,民生银行,20071015,7.4186,2.38326E+11
600016.SH,民生银行,20071016,7.5718,2.43249E+11
600016.SH,民生银行,20071017,7.387,2.37312E+11
600016.SH,民生银行,20071018,7.1662,2.30218E+11
