stockid,stockname,year,quarter,rf,SV,sigma_SV,AV,sigma_AV,DP,DD,EDF
600015,华夏银行,2003,3,0.00495,25342691328,0.079096258,2.32E+11,0.00865268,2.07E+11,12.13206496,3.57E-34
600015,华夏银行,2003,4,0.00495,24549918720,0.125513762,2.62E+11,0.011779976,2.38E+11,7.585544056,1.66E-14
600015,华夏银行,2004,1,0.00495,28014374912,0.158429161,2.59E+11,0.01712885,2.32E+11,6.053588463,7.08E-10
600015,华夏银行,2004,2,0.00495,24611649536,0.119457066,2.80E+11,0.010503826,2.57E+11,7.940323521,1.01E-15
600015,华夏银行,2004,3,0.00495,21847635968,0.153843313,2.87E+11,0.011698942,2.67E+11,6.108211243,5.04E-10
600015,华夏银行,2004,4,0.005625,18048294912,0.138370305,3.11E+11,0.00802717,2.95E+11,6.565030778,2.60E-11
600015,华夏银行,2005,1,0.005625,17336250368,0.149104208,3.04E+11,0.008496929,2.88E+11,6.080681166,5.98E-10
600015,华夏银行,2005,2,0.005625,16349200384,0.153145432,3.29E+11,0.007617402,3.14E+11,5.826052684,2.84E-09
600015,华夏银行,2005,3,0.005625,16759909376,0.126250759,3.38E+11,0.006257136,3.23E+11,7.063917478,8.09E-13
600015,华夏银行,2005,4,0.005625,18348400640,0.107334115,3.59E+11,0.005489402,3.42E+11,8.341667262,3.66E-17
600015,华夏银行,2006,1,0.005625,23639250944,0.123849861,3.71E+11,0.007889735,3.49E+11,7.40487767,6.56E-14
600015,华夏银行,2006,2,0.005625,21991200768,0.124042809,3.74E+11,0.007285614,3.54E+11,7.332962967,1.13E-13
600015,华夏银行,2006,3,0.0063,17334368256,0.162057355,3.80E+11,0.007397634,3.65E+11,5.355340727,4.27E-08
600015,华夏银行,2006,4,0.0063,23847600128,0.21845603,4.50E+11,0.011567605,4.29E+11,4.060160439,2.45E-05
600015,华夏银行,2007,1,0.006975,39816736768,0.377418548,4.45E+11,0.033880576,4.08E+11,2.453564102,0.007072416
600015,华夏银行,2007,2,0.00765,52073000960,0.27179572,5.11E+11,0.027673888,4.63E+11,3.42979965,0.000302014
600015,华夏银行,2007,3,0.009,69706432512,0.308198184,5.72E+11,0.037554841,5.07E+11,3.032375481,0.001213186
600015,华夏银行,2007,4,0.01035,82907996160,0.253177881,6.43E+11,0.032668175,5.65E+11,3.672371457,0.000120155
600015,华夏银行,2008,1,0.01035,75128037376,0.295581251,6.40E+11,0.034690537,5.71E+11,3.117911041,0.000910689
600015,华夏银行,2008,2,0.01035,50145247232,0.367694378,6.45E+11,0.028668774,6.01E+11,2.378140254,0.008700103
600015,华夏银行,2008,3,0.01035,42068000768,0.363147348,6.58E+11,0.023281751,6.22E+11,2.328763565,0.009935797
600015,华夏银行,2008,4,0.008055,38331817984,0.357200503,7.22E+11,0.019012558,6.89E+11,2.390608111,0.008410248
600015,华夏银行,2009,1,0.008055,45462839296,0.254029274,7.53E+11,0.015328781,7.14E+11,3.440687573,0.000290119
600015,华夏银行,2009,2,0.008055,53927157760,0.191440657,8.06E+11,0.012814157,7.58E+11,4.634656159,1.79E-06
